"DIDAT","MIUID","DUDAT","MUUID","BDVER","DMSTO","MMSQU","DDPPY","FJPUB","DDDPY","FJDEL","LUPDT","ASEQN","MGI13MSZKC","MGI13MSZKK","MGI13KSZKK","MGI13JSZKK","MGI13ESZKK"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","移外","移植外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","移内視外","移植・内視鏡外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","消移外","消化器・移植外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腎外臓移","腎臓外科（臓器移植）","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","内分外","内分泌外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","人透外","人工透析外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","臓移外","臓器移植外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","不妊外","不妊治療外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","老人外","老人外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","血液腫外","血液腫瘍外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","感染外","感染症外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","血液外","血液外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","透析外","透析外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","女外","女性外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","性感染外","性感染症外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","薬療外","薬物療法外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","漢外","漢方外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","神外","神経外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","生殖外","生殖医療外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","整外","整形外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","理診","理学診療科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","理療","理学療法","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","リハ","リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","リウ","リウマチ科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","スポ","スポーツ医学科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","物療","物理療法科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","超音","超音波診療科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","心臓リハ","心臓リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","乳リハ","乳腺リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","漢リウ","漢方リウマチ科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腫整外","腫瘍整形外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","脳神リハ","脳神経リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","整リハ","整形リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","ア疾リウ","アレルギー疾患リウマチ科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腎リウ","腎臓リウマチ科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","心血リハ","心臓血管リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","感染リウ","感染症リウマチ科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","薬療リウ","薬物療法リウマチ科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","疼リハ","疼痛緩和リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","血液リウ","血液リウマチ科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","呼リハ","呼吸器リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","神リハ","神経リハビリテーション科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","脳外","脳外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","脳神外","脳神経外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","脳血管外","脳・血管外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","老脳神外","老年脳神経外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","神放","神経放射線科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","放","放射線科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","核","核医学","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","放診","放射線診断科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","放治","放射線治療科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腫放","腫瘍放射線科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","緩放","緩和ケア放射線科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","麻","麻酔科","NULL"
